sciname_new,Kingdom,Phylum,Class,Order,Family
Pachymelania aurita,Animalia,Mollusca,Gastropoda,Caenogastropoda,Hemisinidae
Moroteuthopsis ingens,Animalia,Mollusca,Cephalopoda,Oegopsida,Onychoteuthidae
Leptodactylus latrans,Animalia,Chordata,Amphibia,Anura,Leptodactylidae
Isurus oxyrinchus,Animalia,Chordata,Elasmobranchii,Lamniformes,Lamnidae
Lethenteron camtschaticum,Animalia,Chordata,Petromyzonti,Petromyzontiformes,Petromyzontidae
Hoplobatrachus tigerinus,Animalia,Chordata,Amphibia,Anura,Ranidae
Nannobrachium regale,Animalia,Chordata,Actinopteri,Myctophiformes,Myctophidae
Eptatretus burgeri,Animalia,Chordata,Myxini,Myxiniformes,Myxinidae
Lamna ditropis,Animalia,Chordata,Elasmobranchii,Lamniformes,Lamnidae
Semisulcospira coreana,Animalia,Mollusca,Gastropoda,Caenogastropoda,Semisulcospiridae
Semisulcospira forticosta,Animalia,Mollusca,Gastropoda,Caenogastropoda,Semisulcospiridae
Semisulcospira libertina,Animalia,Mollusca,Gastropoda,Caenogastropoda,Semisulcospiridae
Kareius bicoloratus,Animalia,Chordata,Actinopteri,Pleuronectiformes,Pleuronectidae
Koreoleptoxis nodifila,Animalia,Mollusca,Gastropoda,Caenogastropoda,Semisulcospiridae
Koreoleptoxis globus,Animalia,Mollusca,Gastropoda,Caenogastropoda,Semisulcospiridae
Cyrtograpsus angulatus,Animalia,Arthropoda,Malacostraca,Decapoda,Varunidae
Samastacus spinifrons,Animalia,Arthropoda,Malacostraca,Decapoda,Parastacidae
Unio tigridis,Animalia,Mollusca,Bivalvia,Unionida,Unionidae
Pelodiscus sinensis,Animalia,Chordata,NA,Testudines,Trionychidae
Hoplobatrachus rugulosus,Animalia,Chordata,Amphibia,Anura,Dicroglossidae
Polyides rotunda,Plantae,Rhodophyta,Florideophyceae,Gigartinales,Polyidaceae
Lamna nasus,Animalia,Chordata,Elasmobranchii,Lamniformes,Lamnidae
Sudanonautes africanus,Animalia,Arthropoda,Malacostraca,Decapoda,Potamonautidae
Lissachatina fulica,Animalia,Mollusca,Gastropoda,Stylommatophora,Achatinidae
Dorsanum miran,Animalia,Mollusca,Gastropoda,Neogastropoda,Nassariidae
Filopaludina bengalensis,Animalia,Mollusca,Gastropoda,Architaenioglossa,Viviparidae
Idiopoma dissimilis,Animalia,Mollusca,Gastropoda,Architaenioglossa,Viviparidae
Pila globosa,Animalia,Mollusca,Gastropoda,Architaenioglossa,Ampullariidae
Unio terminalis,Animalia,Mollusca,Bivalvia,Unionida,Unionidae
Enydra fluctuans,Plantae,Tracheophyta,Magnoliopsida,Asterales,Compositae
Brotia costula,Animalia,Mollusca,Gastropoda,Caenogastropoda,Pachychilidae
Treptacantha abies-marina,Chromista,Ochrophyta,Phaeophyceae,Fucales,Sargassaceae
Lanistes libycus,Animalia,Mollusca,Gastropoda,Architaenioglossa,Ampullariidae
Potomida littoralis,Animalia,Mollusca,Bivalvia,Unionida,Unionidae
Potamon potamios,Animalia,Arthropoda,Malacostraca,Decapoda,Potamidae
Spiralothelphusa hydrodroma,Animalia,Arthropoda,Malacostraca,Decapoda,Gecarcinucidae
Nostoc flagelliforme,Bacteria,Cyanobacteria,Cyanophyceae,Nostocales,Nostocaceae
Lamella lamellifrons,Animalia,Arthropoda,Malacostraca,Decapoda,Gecarcinucidae
Isochrysis maritima,Chromista,Haptophyta,Prymnesiophyceae,Isochrysidales,Isochrysidaceae
Petromyzon marinus,Animalia,Chordata,Petromyzonti,Petromyzontiformes,Petromyzontidae
Dasyphloea insignis,Plantae,Rhodophyta,Florideophyceae,Gigartinales,Dumontiaceae
Echinothamnion hystrix,Plantae,Rhodophyta,Florideophyceae,Ceramiales,Rhodomelaceae
Hemineura frondosa,Plantae,Rhodophyta,Florideophyceae,Ceramiales,Delesseriaceae
Lenormandia marginata,Plantae,Rhodophyta,Florideophyceae,Ceramiales,Rhodomelaceae
Osmundaria obtusiloba,Plantae,Rhodophyta,Florideophyceae,Ceramiales,Rhodomelaceae
Pollexfenia lobata,Plantae,Rhodophyta,Florideophyceae,Ceramiales,Rhodomelaceae
Rhodoglossum gigartinoides,Plantae,Rhodophyta,Florideophyceae,Gigartinales,Gigartinaceae
Zymurgia chondriopsidea,Plantae,Rhodophyta,Florideophyceae,Halymeniales,Halymeniaceae
Nitospinosa tasmanica,Plantae,Rhodophyta,Florideophyceae,Ceramiales,Delesseriaceae
Polyopes constrictus,Plantae,Rhodophyta,Florideophyceae,Halymeniales,Halymeniaceae
Sarcotrichia dolichocystidea,Plantae,Rhodophyta,Florideophyceae,Ceramiales,Sarcomeniaceae
Notorynchus cepedianus,Animalia,Chordata,Elasmobranchii,Hexanchiformes,Hexanchidae
Indoplanorbis exustus,Animalia,Mollusca,Gastropoda,NA,Bulinidae
Ellisolandia elongata,Plantae,Rhodophyta,Florideophyceae,Corallinales,Corallinaceae
Lemna trisulca,Plantae,Tracheophyta,Magnoliopsida,Alismatales,Araceae
Myelophycus simplex,Chromista,Ochrophyta,Phaeophyceae,Ectocarpales,Chordariaceae
Limicolaria flammea,Animalia,Mollusca,Gastropoda,Stylommatophora,Achatinidae
Anodontites trapesialis,Animalia,Mollusca,Bivalvia,Unionida,Mycetopodidae
Hexanchus griseus,Animalia,Chordata,Elasmobranchii,Hexanchiformes,Hexanchidae
Rhodoglossum pulchrum,Plantae,Rhodophyta,Florideophyceae,Gigartinales,Gigartinaceae
Heterocapsa circularisquama,Chromista,Myzozoa,Dinophyceae,Peridiniales,Heterocapsaceae
Isochrysis galbana,Chromista,Haptophyta,Prymnesiophyceae,Isochrysidales,Isochrysidaceae
Sayamia sexpunctata,Animalia,Arthropoda,Malacostraca,Decapoda,Gecarcinucidae
Megangulus venulosus,Animalia,Mollusca,Bivalvia,Cardiida,Tellinidae
Pseudopusula sanguinea,Animalia,Mollusca,Gastropoda,Littorinimorpha,Triviidae
Aegla leach,Animalia,Arthropoda,Malacostraca,Decapoda,aeglidae
